case_id	lane	source_path	target_file	target_profile	kernel_feature	verdict	axiom_footprint	negative_case	test_command	status	notes
OCOH-separating-witness	Ocoherence	/home/aimama/aihub/literature/Meredith_Greg/F1R3FLY_publications/knotted-topoi/knotted-topoi.tex	kernel/ocoherence_hm_adequacy_v1.metta	rho/GSLT	each listed ~/~ pair is split by an EXPLICIT <F>phi one satisfies and the other refutes: a.b+a.c vs a.(b+c) by <a>(<b>T and <c>T); a|a vs a by <a><a>T; a.b vs a.c by <a><b>T	accept	none	yes	bash kernel/run_ocoherence_gate.sh	checked	bounded constructive HM-adequacy teeth: listed ~/~ examples have explicit separating formulae
OCOH-triangle	Ocoherence	/home/aimama/aihub/literature/Meredith_Greg/F1R3FLY_publications/denotational-semantics-for-rho/knot-rho.tex	kernel/ocoherence_hm_adequacy_v1.metta	rho/GSLT	bounded conv subset of ~ subset of modal-eq examples tied on the 0-unit pair; the dT label a is both the LTS label (Tr a) and the modal index (FDia a) -- Firing = Witnessing	accept	none	no	cetta ocoherence_hm_adequacy_v1.metta	checked	closes the conv/~/<> triangle with imp_coherence_exp1 (<>/cert) and conv_soundness_shadow_v1 (conv/~)
OCOH-mutation-gate	Ocoherence	kernel/run_ocoherence_gate.sh	kernel/ocoherence_hm_adequacy_v1.metta	rho/GSLT	mutation gate: a modality ignoring its label, a vacuous diamond, a dropped conjunct, and ~ over-match each turn the oracle red	accept	none	yes	bash kernel/run_ocoherence_gate.sh	checked	mutation-complete 4/4 over the 24-assertion bounded oracle; the runnable teeth for the HM-adequacy shadow
OPC-correspondence	Opcorr	/home/aimama/aihub/literature/Meredith_Greg/F1R3FLY_publications/knotted-topoi/knotted-topoi.tex	kernel/mettarho_opcorr_shadow_v1.metta	rho/GSLT	FORWARD+BACKWARD: the desugaring's dT-transitions correspond exactly to the Peano-add GSLT rewrites, each on its location channel c(l)=quote(l); rw is the independent term-side reference, dfire reads channels off the desugared annotation	accept	none	no	bash kernel/run_mettarho_opcorr_gate.sh	checked	bounded operational shadow of knotted-topoi ob:opcorr; genuine 2-rule TRS, nested redexes; non-circular (dfire never calls rw/chan)
OPC-injectivity	Opcorr	/home/aimama/aihub/literature/Meredith_Greg/F1R3FLY_publications/knotted-topoi/knotted-topoi.tex	kernel/mettarho_opcorr_shadow_v1.metta	rho/GSLT	distinct redex locations get distinct channels (c(l)=quote(l) injective); a collapsing desugaring (constant channel) is detected -- the a|a vs a failure (knotted-topoi rem. freshness-by-quoting)	accept	none	yes	bash kernel/run_mettarho_opcorr_gate.sh	checked	the load-bearing teeth; dsg-bad collapse caught
OPC-bisim	Opcorr	/home/aimama/aihub/literature/Meredith_Greg/F1R3FLY_publications/knotted-topoi/knotted-topoi.tex	kernel/mettarho_opcorr_shadow_v1.metta	rho/GSLT	bounded bisimulation of the two transition systems over reachable terms (the desugaring and the GSLT agree all the way to normal form)	accept	none	no	cetta mettarho_opcorr_shadow_v1.metta	checked	opc-bisim depth 8; add terms terminate within bound, with explicit multi-step normalisation witnesses for add(s(s z), s z)
OPC-mutation-gate	Opcorr	kernel/run_mettarho_opcorr_gate.sh	kernel/mettarho_opcorr_shadow_v1.metta	rho/GSLT	mutation gate: channel collision, wrong location, and dropped/wrong re-emit each turn the oracle red	accept	none	yes	bash kernel/run_mettarho_opcorr_gate.sh	checked	mutation-complete 4/4; exact-19 baseline guard before mutation testing
IND-strict-positivity	Induction	/home/aimama/aihub/repos/itp-curriculum-sources/rocq_core/test-suite/failure/inductive.v	kernel/kernel_signature_lf_indexed_v0.metta	DTT	DInd strict positivity: a non-strictly-positive constructor (family in an argument's Pi-domain) is rejected at admission	reject	none	yes	cetta kernel_signature_lf_indexed_v0.metta	checked	anchor bad-pos-sig/bad-nested-pos-sig = False; matches Coq/Rocq rejecting non-strictly-positive inductives (Bad := (Bad->False)->Bad)
IND-param-uniformity	Induction	/home/aimama/aihub/repos/itp-curriculum-sources/rocq_core/test-suite/failure/inductive.v	kernel/kernel_signature_lf_indexed_v0.metta	DTT	DIndG parameter uniformity: a parameterized family may recurse only at its own parameters (List A on List A, not List B)	reject	none	yes	cetta kernel_signature_lf_indexed_v0.metta	checked	anchor bad-param-change-sig = False; matches Coq/Rocq uniform-parameter requirement for inductive families
IND-empty	Induction	/home/aimama/aihub/repos/itp-curriculum-sources/rocq_core/theories/Corelib/Init/Logic.v	kernel/kernel_signature_lf_indexed_v0.metta	DTT	empty inductive (no constructors) is admitted and its vacuous eliminator typechecks (the absurd/Empty recursor)	accept	none	no	cetta kernel_signature_lf_indexed_v0.metta	checked	anchor emp-sig-G admitted + dindg-elim-typechecks; matches Coq False/False_rect and Agda bottom with vacuous elimination
NIK-id	Metamath	/home/aimama/aihub/hyperon/metamath/metamath-test/set.mm	kernel/nik_metamath_stack_v0.metta	Metamath	NIK Metamath propositional stack proves the identity/self-implication theorem (ph -> ph) via ax-1/ax-2/ax-mp (floating hypotheses + Use)	accept	none	no	cetta nik_metamath_stack_v0.metta	checked	anchor id-stack-result proves (wi ph ph); matches set.mm theorem id ( |- ( ph -> ph ) )
CROSS-self-impl	Cross-profile	/home/aimama/aihub/hyperon/metamath/metamath-test/set.mm	kernel/curriculum_lf_demo.metta	Metamath x DTT	cross-profile agreement: self-implication A->A is accepted in BOTH the NIK-Metamath profile (wi ph ph) and the lambda-Pi profile (lambda x:o. x : o->o), verdicts agree	accept	none	no	cetta nik_metamath_stack_v0.metta	checked	one-kernel-many-profiles: NIK proves propositional (ph -> ph), lambda-Pi inhabits o->o by identity; agreement is via Curry-Howard (propositional implication ~ function type), NOT syntactic identity -- bounded v1 cross-profile shadow, not a universal equivalence theorem
HOL-core-self-impl	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light/impconv.ml; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/ASSUME.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/DISCH.hlp	Notation/08_hol_core_concrete_syntax.metta	HOL	REGRESSION-ONLY hosted HOL-core implication theorem A ==> A through the pre-faithful natural-deduction concrete syntax	accept	none	free ASSUME and wrong consequent certificates reject	bash run_all.sh	checked	Regression/calibration row only: HOL-shaped DISCH h:A->A . ASSUME h lowers to the older LF impI path and checks as prf (imp A A). It is NOT the faithful HOL-Light equality-kernel covered path; 09_hol_light_eq_kernel is the replacement track.
HOL-core-mp	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/MP.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/drule.ml; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/fusion.ml	Notation/08_hol_core_concrete_syntax.metta	HOL	REGRESSION-ONLY hosted HOL-core theorem (A ==> B) ==> A ==> B through the pre-faithful natural-deduction concrete syntax	accept	none	MP with mismatched antecedent rejects	bash run_all.sh	checked	Regression/calibration row only: DISCH/DISCH/MP lowers to old impI/impE and kernel-check proves the theorem. It is kept as a regression oracle until MP/DISCH replay through HOL-Light's equality kernel in 09, then primitive MP/DISCH can retire.
HOL-core-refl	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/REFL.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/REFL_TAC.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/trivia.ml	Notation/08_hol_core_concrete_syntax.metta	HOL	hosted HOL-core REFL certificate lowers to generated LF nat equality proof and checks by kernel-check	accept	none	wrong equality target rejects	bash run_all.sh	checked	HOL-style REFL concrete syntax (hrefl nat z) lowers to rfl z and checks against eqn z z; wrong target eqn z s rejects. Source anchors: HOL Light REFL/REFL_TAC and I_THM reflexivity examples.
HOL-core-bad-cert	HOL	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_v0.metta	Notation/08_hol_core_concrete_syntax.metta	HOL	hosted HOL-core parser is not trusted: parsed/lowered bad proof certificates still pass through kernel-check and reject	reject	none	MP mismatched antecedent; DISCH target mismatch; free ASSUME/proof variable outside scope; wrong REFL target	bash run_all.sh	checked	Confirms the HOL concrete syntax is a LanguageDef frontend, not a parallel checker: malformed proof certificates may parse/lower but kernel-check returns Err check-failed.
NOTATION-026	Notation	Notation/mutation_check.sh	Notation/mutation_check.sh	OSLF	HOL-core rule-certificate mutation hardening: DISCH, MP, ASSUME scope, REFL, and checker boundary are load-bearing	reject	none	corrupt DISCH binder type; corrupt MP lowering; bypass free ASSUME rejection; corrupt REFL lowering; bypass kernel-check	bash run_all.sh	checked	Mutation gate corrupts 08_hol_core_concrete_syntax.metta and requires CeTTa to catch each regression; proves the HOL bridge is checked by the real kernel path and each LCF-style rule tooth bites.
BIND-bindingdecl-interface	Binding	/home/aimama/aihub/literature/Binding_Substitution/Harper_2012_Practical_Foundations_for_Programming_Languages_v1_32.pdf; /home/aimama/aihub/literature/Binding_Substitution/Sterling_Morrison_2016_Syntax_and_Semantics_of_Abstract_Binding_Trees.pdf	kernel/kernel_binding_decl_v1.metta; kernel/kernel_binding_abtg_replay_v1.metta; Notation/08_hol_core_concrete_syntax.metta	OSLF	shared BindingDecl interface for hosted LanguageDefs: Bind0/Bind1/BindFields/BindPi declare nullary, body-binding, multi-field, dependent-Pi, forall/exists/comprehension, and DISCH-style binders above the minimal binding waist	accept	none	duplicate field; Pi domain/codomain collapse; corrupted recursive shift/subst; missing field defaults to 0	bash kernel/run_binding_mutation_gate.sh	checked	BindingDecl now supports arbitrary nonnegative binding depth by recursion and fails closed on undeclared fields. G11-G16 mutate duplicate admission, Pi codomain binding, recursive cutoff/term-shift, and missing-field defaults; all are caught.
NOTATION-027	Notation	Notation/mutation_check.sh	Notation/mutation_check.sh	OSLF	HOL-core concrete syntax binding table routes through the shared BindingDecl interface, not a private Bind1 convention	reject	none	corrupt hol-binding-depth-in so DISCH/INTRO no longer see body binding	bash run_all.sh	checked	Notation mutation gate now corrupts the HOL BindingDecl lookup and requires 08_hol_core_concrete_syntax.metta to go red; proves the hosted HOL concrete syntax depends on the shared declaration trunk.
HOL-light-eq-spine	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light/fusion.ml; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/REFL.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/TRANS.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/MK_COMB_UPPERCASE.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/ABS.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/BETA.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/ASSUME.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/EQ_MP.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/IMP_ANTISYM_RULE.hlp	Notation/09_hol_light_eq_kernel.metta	HOL	faithful HOL-Light equality-kernel primitive spine hosted as LF rule certificates: REFL TRANS MK_COMB ABS BETA ASSUME EQ_MP DEDUCT_ANTISYM, with bounded ABS instances needed by the bool spine	accept	hosted HOL-Light primitive rules	each primitive lowering has a mutation tooth	bash run_all.sh	checked	CeTTa checks the bounded bool/proposition spine by imported kernel-check: REFL, TRANS, MK_COMB, ABS, ABS_PRED2, BETA, ASSUME-as-LF-variable, EQ_MP, and DEDUCT_ANTISYM all inhabit their HOL-Light-shaped LF types.
HOL-light-eq-defs	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light/bool.ml	Notation/09_hol_light_eq_kernel.metta	HOL	HOL-Light-style definitions for T, conjunction, and implication are represented as LF definitions over equality and lambda; A ==> B unfolds to (A /\\ B) <=> A	accept	none	swapping IMP_DEF antecedent/consequent is caught	bash run_all.sh	checked	Matches bool.ml: T_DEF = identity-function equality; AND_DEF = equality of selector functions; IMP_DEF = p /\\ q <=> p. The asymmetric A ==> B test prevents the A==A false green.
HOL-light-eq-mutation	Notation	Notation/mutation_check.sh	Notation/mutation_check.sh	OSLF	HOL-Light equality-kernel mutation hardening for REFL TRANS MK_COMB ABS ABS_PRED2 BETA ASSUME EQ_MP DEDUCT_ANTISYM IMP_DEF and checked derived-rule DThm shards	reject	none	corrupt any hosted primitive, implication-definition bridge use, derived EQT_INTRO, derived SYM/EQT_ELIM route, AND_DEF application, DISCH_AA_CORE DThm, SELF_IMP_A DThm, MP_AB DThm, AND_EXPANDED_AB_FROM_PROOFS DThm, CONJ_AB_FROM_PROOFS DThm, CONJUNCT1_AB DThm, DISCH_AB_UNDER_IMPAB DThm, or OLD_MP_REPLAY DThm	bash run_all.sh	checked	Mutation gate corrupts 09_hol_light_eq_kernel.metta and requires CeTTa to catch every primitive-rule regression, IMP_DEF bridge-use regression, derived EQT_INTRO corruption, derived SYM/EQT_ELIM corruption, AND_DEF/ABS_PRED2 application corruption, and active derived-rule DThm body corruptions for DISCH_AA_CORE, SELF_IMP_A, MP_AB, AND_EXPANDED_AB_FROM_PROOFS, CONJ_AB_FROM_PROOFS, CONJUNCT1_AB, DISCH_AB_UNDER_IMPAB, and OLD_MP_REPLAY.
HOL-light-derived-rule-shards	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light/bool.ml; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/equal.ml; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/fusion.ml; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/EQ_MP.hlp; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/Help/IMP_ANTISYM_RULE.hlp	Notation/09_hol_light_eq_kernel.metta	HOL	derived HOL-Light rule shards DISCH_AA_CORE, SELF_IMP_A, MP_AB, AND_EXPANDED_AB_FROM_PROOFS, CONJ_AB_FROM_PROOFS, CONJUNCT1_AB, DISCH_AB_UNDER_IMPAB, and OLD_MP_REPLAY are admitted as checked opaque LF theorem declarations once and used by name under scoped batch checking	accept	none	corrupt DISCH_AA_CORE, SELF_IMP_A, MP_AB, AND_EXPANDED_AB_FROM_PROOFS, CONJ_AB_FROM_PROOFS, CONJUNCT1_AB, DISCH_AB_UNDER_IMPAB, or OLD_MP_REPLAY DThm body	bash run_all.sh	checked	Checked, capped v1 of the derived-rule library: DISCH_AA_CORE, SELF_IMP_A, MP_AB, AND_EXPANDED_AB_FROM_PROOFS, CONJ_AB_FROM_PROOFS, CONJUNCT1_AB, DISCH_AB_UNDER_IMPAB, and OLD_MP_REPLAY are admitted as DThms in small extension signatures and then checked by Con name, opaque for reduction but transparent for axiom provenance. SELF_IMP_A is the faithful equality-kernel replay of A ==> A through DISCH_AA_CORE; OLD_MP_REPLAY is now covered through the same scoped batch route.
HOL-light-derived-mp-disch	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light/bool.ml; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/drule.ml; /home/aimama/aihub/repos/itp-curriculum-sources/hol_light/fusion.ml	Notation/09_hol_light_eq_kernel.metta	HOL	derive OLD_MP_REPLAY from EQ_MP plus DEDUCT_ANTISYM through the faithful HOL-Light equality-kernel route; old 08 primitive MP/DISCH stays regression-only	accept	none	corrupt OLD_MP_REPLAY DThm body; primitive 08 MP/DISCH not used for the covered 09 theorem	bash run_all.sh	checked	OLD_MP_REPLAY is checked in 09_hol_light_eq_kernel.metta under scoped batch theorem admission with opaque HOL constants plus explicit T_DEF/AND_DEF/IMP_DEF theorem constants, matching HOL-Light's definition discipline and avoiding LF definitional unfolding. The old 08 primitive MP/DISCH concrete syntax remains a regression oracle, not the covered HOL theorem path.
SOUND-def-body-check	Soundness	kernel/break_probes.metta	kernel/kernel_signature_lf_v0.metta	DTT	definitions are checked against their declared type at admission (def body : declared type); a body whose type differs is rejected	reject	none	yes	cetta kernel_signature_lf_v0.metta	checked	break_probes BREAK-B (A:o declared at prf falseP) is a STRIPPED-checker hole; real kernel CLOSES it via wf-decl DDef check-conv; bad-def-sig -> sig-admitted False. Every ITP (Coq/Lean) checks def bodies
SOUND-malformed-type-sig	Soundness	kernel/break_probes.metta	kernel/kernel_signature_lf_indexed_v0.metta	DTT	a signature whose declared type is ill-typed (references a non-existent constant) is rejected at admission	reject	none	yes	cetta kernel_signature_lf_indexed_v0.metta	checked	real kernel CLOSES it: bad-kind-sig -> sig-admitted False; matches Coq/Lean rejecting ill-formed declarations
SOUND-type-wf-in-check	Soundness	kernel/break_probes.metta	kernel/kernel_signature_lf_indexed_v0.metta	DTT	check verifies the EXPECTED type is well-formed (type-ok) before conversion; ill-formed expected types are refused, not normalized away	reject	none	yes	cetta kernel_signature_lf_indexed_v0.metta	checked	real kernel CLOSES it: check = if type-ok then check-conv else False
SOUND-ledger-consistency	Soundness	kernel/break_probes.metta	kernel/kernel_signature_v0.metta	DTT	axiom-ledger joint consistency is NOT decidable by any checker; the kernel makes axiom-dependence VISIBLE via provenance (CheckedPrf footprint), so a proof from a bad axiom is axiom-flagged, not unconditionally proved	requires-explicit-axiom	tracked	yes	cetta kernel_signature_v0.metta	checked	break_probes BREAK-A; MITIGATED not closed -- no type-checker discharges consistency (Pollack trust-boundary); WM evidence cannot mint theorem
SOUND-metatheory-gap	Soundness	kernel/kernel_signature_lf_indexed_v0.metta	kernel/kernel_signature_lf_indexed_v0.metta	DTT	GENUINE remaining soundness gap: universal subject-reduction / confluence / termination theorem is NOT machine-proven; admission-level SR is now gated, but admission => universal SR remains open	accept	unproven	yes	bash kernel/run_kernel_parity.sh; bash kernel/run_sr_admission_gate.sh	planned	the real open soundness obligation is now smaller: prove the fail-closed admission predicates imply universal SR/confluence/termination (Lean v5, blocked on 4.31); NOT a per-input checker hole
BIND-lean-debruijn-mini	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/BINDER_AND_FREEK100_SOURCES.md; /home/aimama/aihub/repos/itp-curriculum-sources/lean_theorem_proving_in_lean4/book/TPiL/DependentTypeTheory.lean	Lean/16_binders_debruijn.lean; Lean/neg_binder_capture_claim.lean	DTT	checked Lean de Bruijn mini-lane: shift under binders, substitution target hit, substitution under lambda shifts the substituted free variable	accept	none	bad capture-shaped claim says shift under lambda leaves a free variable fixed	bash run_all.sh	checked	Lean positive file proves five tiny de Bruijn shift/substitution facts without sorry; negative file is expected to fail by rfl because shift 1 (lam (var 1)) is lam (var 2), not lam (var 1).
BIND-plfa-debruijn-lookup	Agda	/home/aimama/aihub/repos/itp-curriculum-sources/agda_plfa/src/plfa/part2/DeBruijn.lagda.md	kernel/kernel_binding_abtg_replay_v1.metta	DTT	PLFA de Bruijn lookup and context-index discipline as source-backed binder calibration	accept	none	wrong variable lookup / out-of-scope variable rejects as Bad plfa-out-of-scope	bash kernel/run_binding_mutation_gate.sh	checked	CeTTa-gated PLFA-style lookup replay: index 0 in a nonempty context succeeds and an out-of-scope index rejects. This is a concrete kernel replay calibrated to PLFA, not an Agda gate.
BIND-plfa-subst-under-binder	Agda	/home/aimama/aihub/repos/itp-curriculum-sources/agda_plfa/src/plfa/part2/Substitution.lagda.md; /home/aimama/aihub/repos/itp-curriculum-sources/agda_plfa/src/plfa/part2/Lambda.lagda.md	kernel/kernel_binding_decl_v1.metta; kernel/kernel_binding_abtg_replay_v1.metta	DTT	PLFA substitution under lambda shifts the substituted term to avoid capture	accept	none	forgetting the under-binder shift captures a free variable	bash kernel/run_binding_mutation_gate.sh	checked	CeTTa-gated recursive BindingDecl replays check substitution under depth 3/4, including Var 0 shifted to Var 3 under three binders. G14 mutates away the recursive substituted-term shift and is caught.
BIND-plfa-subst-id	Agda	/home/aimama/aihub/repos/itp-curriculum-sources/agda_plfa/src/plfa/part2/Substitution.lagda.md; /home/aimama/aihub/repos/itp-curriculum-sources/agda_plfa/src/plfa/part2/Properties.lagda.md	kernel/kernel_binding_abtg_replay_v1.metta	DTT	PLFA substitution identity law: identity substitution preserves terms	accept	none	identity substitution changes a free or bound variable	bash kernel/run_binding_mutation_gate.sh	checked	CeTTa-gated concrete sigma-law replay: substituting Var 0 under depth 3 preserves the nested boundary term App (Var 3) (Var 2). This is a bounded replay, not a universal PLFA theorem.
BIND-plfa-subst-fusion	Agda	/home/aimama/aihub/repos/itp-curriculum-sources/agda_plfa/src/plfa/part2/Substitution.lagda.md; /home/aimama/aihub/repos/itp-curriculum-sources/agda_plfa/src/plfa/part2/Properties.lagda.md; /home/aimama/aihub/literature/Binding_Substitution/Allais_etal_2021_Universe_of_Syntaxes_with_Binding_arXiv_2001.11001.pdf	kernel/kernel_binding_abtg_replay_v1.metta	DTT	PLFA substitution fusion/commutation law, cross-checked against generic-syntax arbitrary-depth binding design	accept	none	substitution composition with wrong lifting under a nested binder	bash kernel/run_binding_mutation_gate.sh	checked	CeTTa-gated concrete fusion/commutation witnesses over recursive depth 3: nested identity-then-constant substitution agrees with direct substitution, and shift/subst commute on a bound variable. G13/G14 catch wrong recursive lifting.
DED-LP-nat-plus-rewrite	DeduktiLambdapi	/home/aimama/aihub/repos/dedukti/TUTORIAL.md; /home/aimama/aihub/repos/dedukti/examples/plus.dk	DeduktiLambdapi/01_dedukti_guest_micro.metta	DTT	Dedukti tutorial Nat plus rewrite rules hosted as MIK guest data with explicit rewrite-obligation footprint, then lowered to the lambda-Pi kernel by checking equality after guest normalization	accept	rewrite obligations: rew-plus-Z-S, rew-plus-n-Z, rew-plus-S-S	wrong plus rewrite rule changes normal form; untracked rewrite obligation rejects	bash run_all.sh	checked	CeTTa-gated micro-coverage of plus.dk's three tutorial rewrite rules: plus Z (S m), plus n Z, and plus (S n) (S m). v1 carries confluence/termination as an explicit obligation footprint; it does not claim full Dedukti rewriting or universal confluence.
DED-LP-proof-inhabitation	DeduktiLambdapi	/home/aimama/aihub/repos/dedukti/TUTORIAL.md; /home/aimama/aihub/repos/dedukti/examples/FO.dk; /home/aimama/aihub/repos/dedukti/examples/FO_theorems.dk	DeduktiLambdapi/01_dedukti_guest_micro.metta	DTT	Dedukti FO.dk proof-as-inhabitation micro-host: tt : prf true parses as guest data, lowers to the MIK lambda-Pi kernel, and checks; tt : prf false rejects	accept	none	inhabit false with tt; parser-success bypassing kernel-check	bash run_all.sh	checked	Covers the tiny FO.dk source line tt: prf true as an inhabited proof object in MIK. FO_theorems.dk remains context only in v1; no larger classical theorem is claimed covered.
DED-CIC-stage1-sorts-pi	DeduktiLambdapi	/home/aimama/aihub/repos/dedukti/libraries/theories/cic.dk	DeduktiLambdapi/02_cic_guest_sorts_pi_micro.metta	DTT	Dedukti cic.dk Stage-1 guest micro-host: Prop, Type_0, and Type_1 identity proofs carry an explicit cic.dk rewrite-obligation footprint, lower into the MIK lambda-Pi kernel, and re-check there	accept	rewrite obligations: rew-m-i-z, rew-m-z-j, rew-m-s-s, rew-term-univ, rew-term-prod, rew-succ-prop, rew-succ-type, rew-rule-s1-prop, rew-rule-prop-s2, rew-rule-type-type	wrong identity body, wrong sort-level rewrite, or missing rewrite obligation must reject; parser/lowering success is not proof success	bash run_all.sh	checked	Covers a real cic.dk-shaped fragment, not a blueprint copy: Prop, Type_0, and Type_1 products are hosted as guest data, normalized through a small explicit rewrite footprint, and checked by the real kernel_signature_lf_v0 kernel. Universes + cumulativity remain future work.
DED-CIC-stage2-indg-recursors	DeduktiLambdapi	/home/aimama/aihub/repos/dedukti/libraries/theories/cic.dk	DeduktiLambdapi/03_cic_guest_indg_micro.metta	DTT	Dedukti cic.dk Stage-2 guest micro-host: explicit external Nat/Id/plus witnesses lower structurally from the covered DK fragment onto the admitted DIndG engine and are re-checked by the real kernel	accept	none	wrong Nat/Id witness body, malformed covered-fragment lowering, or off-by-one plus theorem claim must reject in kernel-check	bash run_all.sh	checked	Covers a real DIndG-backed CIC fragment rather than a hand-rolled inductive mechanism: Nat induction, Id/J, generated successor congruence, and the theorem forall n. plus n z = n are hosted as external witness data and re-checked in-kernel. The current lowering is syntax-directed for the covered Stage-2 fragment, not yet a full cic.dk/Lean-core importer; universes and cumulativity remain future work.
DED-CIC-stage3-universes-cumulativity	DeduktiLambdapi	/home/aimama/aihub/repos/dedukti/libraries/theories/cic.dk	DeduktiLambdapi/04_cic_guest_universes_micro.metta	DTT	Dedukti cic.dk Stage-3 guest micro-host: explicit external Prop->Type_0 and Type_0->Type_1 cumulativity witnesses lower through a covered max/lift fragment and are re-checked by the real kernel	accept	rewrite obligations: rew-term-lift, rew-lift-id, rew-max-s1-prop, rew-max-prop-s2, rew-max-type-type plus Stage-1 obligations	wrong max/lift normalization, wrong cumulativity body, or missing rewrite obligation must reject; parser/lowering success is not proof success	bash run_all.sh	checked	Covers a minimal but real universes/cumulativity foothold rather than a blueprint copy: max/ lift normalization is explicitly tracked, direct max and lift reductions are exercised, and external guest proof terms witness Prop->Type_0 and Type_0->Type_1 cumulativity before the real kernel re-checks the normalized terms. This is still a covered fragment, not the full cic.dk universe canonicity story.
DED-LP-lambda-binder	DeduktiLambdapi	/home/aimama/aihub/repos/dedukti/TUTORIAL.md; /home/aimama/aihub/repos/dedukti/examples/lambda.dk; /home/aimama/aihub/repos/dedukti/examples/pureLambdaCalculus.dk	(planned)	DTT	Dedukti lambda/binder examples as source-backed lambda-Pi binder calibration	accept	none	beta/renaming mistake under lambda	(planned: no dk gate wired)	planned	Planned row for binder practice in a lambda-Pi-modulo ecosystem, complementary to PLFA and Lean.
DED-LP-append-indexed	DeduktiLambdapi	/home/aimama/aihub/repos/dedukti/examples/append.dk	(planned)	DTT	Dedukti append over length-indexed lists as indexed-family and rewrite-rule calibration	accept	rewrite rules	wrong append rule produces mismatched length index	(planned: no dk gate wired)	planned	Planned row connecting Dedukti tutorial-style rewriting with our generated indexed-induction and vector/list-family checks.
DED-LP-guest-mutation	DeduktiLambdapi	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/DeduktiLambdapi/run_dedukti_guest_mutation_gate.sh	DeduktiLambdapi/run_dedukti_guest_mutation_gate.sh	DTT	Dedukti-as-guest mutation hardening for the hosted micro-fragment: plus rewrite correctness, lambda BindingDecl lowering, proof-as-inhabitation checking, parser/trust boundary, Stage-3 max/lift cumulativity normalization, and rewrite-obligation tracking	reject	none	corrupt plus rewrite; corrupt lambda binder declaration; accept tt at prf false; bypass kernel-check after parse; corrupt Stage-3 max/lift normalization; accept rewrite without obligation footprint	bash run_all.sh	checked	Mutation gate corrupts both 01_dedukti_guest_micro.metta and 04_cic_guest_universes_micro.metta and requires CeTTa to catch every regression, including Stage-3 max/lift and untracked-cumulativity-obligation faults. This is guest coverage, not a copy or adoption of Dedukti's checker architecture.
FREEK-074-induction	Freek100	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/pro_nik_freek_100_for_curriculum_226-26_1.md	(planned)	DTT	Freek-100 #74 Principle of Mathematical Induction: generated Nat induction, motive checking, eliminator type, and iota soundness	accept	none	wrong induction motive or missing successor case	(planned)	planned	Seed Freek-100 row; intended source systems include Lean, Rocq/Coq, HOL Light, Metamath, Mizar, ACL2, Megalodon, and others per the Freek list.
FREEK-001-sqrt2	Freek100	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/pro_nik_freek_100_for_curriculum_226-26_1.md	(planned)	DTT|HOL|NIK	Freek-100 #1 irrationality of sqrt(2): arithmetic contradiction, parity/divisibility, and cross-profile statement normalization	accept	none	hidden classical/choice axiom or invalid parity rewrite	(planned)	planned	Seed Freek-100 row for a small cross-profile theorem target; starts as curriculum statement normalization, not an immediate in-kernel proof.
FREEK-069-gcd	Freek100	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/pro_nik_freek_100_for_curriculum_226-26_1.md	(planned)	PV|DTT	Freek-100 #69 Greatest Common Divisor Algorithm: recursion, termination measure, divisibility spec, and executable/proof bridge	accept	termination/divisibility spec	wrong recursive measure or wrong divisibility direction	(planned)	planned	Seed Freek-100 row linking program verification and number theory; later proof should distinguish computation from theorem-level specification.
